z,gamma
-31.79010845122606,0.9556090800583696
-31.780108451226063,0.9556098320212231
-31.770108451226065,0.9556105857563544
-31.760108451226067,0.9556113412674884
-31.75010845122607,0.9556120985583563
-31.74010845122607,0.9556128576326958
-31.730108451226073,0.9556136184942514
-31.720108451226075,0.9556143811467741
-31.710108451226077,0.9556151455940217
-31.70010845122608,0.9556159118397586
-31.69010845122608,0.9556166798877557
-31.680108451226083,0.9556174497417905
-31.670108451226085,0.9556182214056477
-31.660108451226087,0.955618994883118
-31.65010845122609,0.955619770177999
-31.64010845122609,0.9556205472940954
-31.630108451226093,0.9556213262352179
-31.620108451226095,0.9556221070051846
-31.610108451226097,0.9556228896078196
-31.6001084512261,0.9556236740469546
-31.5901084512261,0.9556244603264271
-31.580108451226103,0.9556252484500821
-31.570108451226105,0.9556260384217707
-31.560108451226107,0.9556268302453516
-31.55010845122611,0.9556276239246891
-31.54010845122611,0.9556284194636556
-31.530108451226113,0.9556292168661292
-31.520108451226115,0.9556300161359954
-31.510108451226117,0.9556308172771462
-31.50010845122612,0.9556316202934806
-31.49010845122612,0.9556324251889042
-31.480108451226123,0.9556332319673299
-31.470108451226125,0.9556340406326765
-31.460108451226127,0.9556348511888709
-31.45010845122613,0.9556356636398459
-31.44010845122613,0.9556364779895413
-31.430108451226133,0.955637294241904
-31.420108451226135,0.9556381124008878
-31.410108451226137,0.9556389324704533
-31.40010845122614,0.9556397544545678
-31.39010845122614,0.9556405783572058
-31.380108451226143,0.9556414041823486
-31.370108451226145,0.9556422319339842
-31.360108451226147,0.9556430616161079
-31.35010845122615,0.9556438932327217
-31.34010845122615,0.9556447267878345
-31.330108451226153,0.9556455622854624
-31.320108451226155,0.9556463997296283
-31.310108451226156,0.955647239124362
-31.30010845122616,0.9556480804737003
-31.29010845122616,0.9556489237816872
-31.280108451226162,0.9556497690523735
-31.270108451226164,0.9556506162898168
-31.260108451226166,0.9556514654980822
-31.25010845122617,0.9556523166812415
-31.24010845122617,0.9556531698433735
-31.230108451226172,0.9556540249885642
-31.220108451226174,0.9556548821209064
-31.210108451226176,0.9556557412445004
-31.20010845122618,0.9556566023634531
-31.19010845122618,0.9556574654818787
-31.180108451226182,0.9556583306038983
-31.170108451226184,0.9556591977336403
-31.160108451226186,0.95566006687524
-31.15010845122619,0.95566093803284
-31.14010845122619,0.9556618112105898
-31.130108451226192,0.9556626864126463
-31.120108451226194,0.9556635636431733
-31.110108451226196,0.9556644429063418
-31.1001084512262,0.9556653242063297
-31.0901084512262,0.9556662075473225
-31.080108451226202,0.9556670929335127
-31.070108451226204,0.9556679803690997
-31.060108451226206,0.9556688698582905
-31.050108451226208,0.9556697614052988
-31.04010845122621,0.9556706550143461
-31.030108451226212,0.9556715506896606
-31.020108451226214,0.9556724484354778
-31.010108451226216,0.9556733482560407
-31.000108451226218,0.9556742501555991
-30.99010845122622,0.9556751541384104
-30.980108451226222,0.955676060208739
-30.970108451226224,0.9556769683708568
-30.960108451226226,0.9556778786290429
-30.950108451226228,0.9556787909875831
-30.94010845122623,0.9556797054507715
-30.930108451226232,0.9556806220229087
-30.920108451226234,0.9556815407083028
-30.910108451226236,0.9556824615112693
-30.900108451226238,0.9556833844361311
-30.89010845122624,0.955684309487218
-30.880108451226242,0.9556852366688676
-30.870108451226244,0.9556861659854244
-30.860108451226246,0.9556870974412408
-30.850108451226248,0.955688031040676
-30.84010845122625,0.9556889667880967
-30.830108451226252,0.9556899046878773
-30.820108451226254,0.9556908447443991
-30.810108451226256,0.9556917869620514
-30.800108451226258,0.95569273134523
-30.79010845122626,0.9556936778983389
-30.780108451226262,0.9556946266257892
-30.770108451226264,0.9556955775319993
-30.760108451226266,0.9556965306213955
-30.750108451226268,0.9556974858984107
-30.74010845122627,0.9556984433674861
-30.730108451226272,0.9556994030330699
-30.720108451226274,0.9557003648996177
-30.710108451226276,0.9557013289715931
-30.700108451226278,0.9557022952534663
-30.69010845122628,0.9557032637497158
-30.680108451226282,0.9557042344648271
-30.670108451226284,0.9557052074032936
-30.660108451226286,0.9557061825696158
-30.650108451226288,0.9557071599683019
-30.64010845122629,0.9557081396038676
-30.630108451226292,0.9557091214808362
-30.620108451226294,0.9557101056037385
-30.610108451226296,0.9557110919771128
-30.600108451226298,0.955712080605505
-30.5901084512263,0.9557130714934686
-30.5801084512263,0.9557140646455647
