z,gamma
-27.90087235738552,0.9556299572097396
-27.89087235738552,0.9556308126924294
-27.880872357385517,0.9556316703133764
-27.870872357385515,0.9556325300773322
-27.860872357385514,0.9556333919890578
-27.850872357385512,0.9556342560533229
-27.84087235738551,0.9556351222749057
-27.83087235738551,0.9556359906585937
-27.820872357385507,0.9556368612091829
-27.810872357385506,0.9556377339314787
-27.800872357385504,0.9556386088302946
-27.790872357385503,0.9556394859104539
-27.7808723573855,0.9556403651767879
-27.7708723573855,0.9556412466341375
-27.760872357385498,0.9556421302873525
-27.750872357385497,0.9556430161412911
-27.740872357385495,0.9556439042008211
-27.730872357385493,0.9556447944708188
-27.720872357385492,0.9556456869561698
-27.71087235738549,0.9556465816617684
-27.70087235738549,0.9556474785925182
-27.690872357385487,0.9556483777533316
-27.680872357385486,0.9556492791491299
-27.670872357385484,0.9556501827848439
-27.660872357385482,0.9556510886654132
-27.65087235738548,0.9556519967957862
-27.64087235738548,0.9556529071809208
-27.630872357385478,0.9556538198257833
-27.620872357385476,0.9556547347353503
-27.610872357385475,0.9556556519146062
-27.600872357385473,0.9556565713685453
-27.59087235738547,0.9556574931021707
-27.58087235738547,0.9556584171204948
-27.57087235738547,0.9556593434285391
-27.560872357385467,0.9556602720313341
-27.550872357385465,0.9556612029339197
-27.540872357385464,0.9556621361413448
-27.530872357385462,0.9556630716586675
-27.52087235738546,0.9556640094909554
-27.51087235738546,0.9556649496432851
-27.500872357385457,0.955665892120742
-27.490872357385456,0.9556668369284215
-27.480872357385454,0.9556677840714277
-27.470872357385453,0.9556687335548741
-27.46087235738545,0.9556696853838837
-27.45087235738545,0.9556706395635886
-27.440872357385448,0.9556715960991298
-27.430872357385446,0.9556725549956583
-27.420872357385445,0.9556735162583337
-27.410872357385443,0.9556744798923259
-27.400872357385442,0.955675445902813
-27.39087235738544,0.9556764142949831
-27.38087235738544,0.9556773850740335
-27.370872357385437,0.9556783582451711
-27.360872357385436,0.9556793338136116
-27.350872357385434,0.9556803117845809
-27.340872357385432,0.9556812921633134
-27.33087235738543,0.9556822749550536
-27.32087235738543,0.9556832601650551
-27.310872357385428,0.9556842477985812
-27.300872357385426,0.9556852378609041
-27.290872357385425,0.9556862303573059
-27.280872357385423,0.9556872252930783
-27.27087235738542,0.955688222673522
-27.26087235738542,0.9556892225039474
-27.25087235738542,0.9556902247896746
-27.240872357385417,0.9556912295360328
-27.230872357385415,0.9556922367483611
-27.220872357385414,0.9556932464320079
-27.210872357385412,0.9556942585923313
-27.20087235738541,0.9556952732346985
-27.19087235738541,0.9556962903644871
-27.180872357385407,0.9556973099870835
-27.170872357385406,0.9556983321078839
-27.160872357385404,0.9556993567322942
-27.150872357385403,0.9557003838657301
-27.1408723573854,0.9557014135136164
-27.1308723573854,0.9557024456813878
-27.120872357385398,0.9557034803744888
-27.110872357385396,0.9557045175983734
-27.100872357385395,0.9557055573585049
-27.090872357385393,0.955706599660357
-27.080872357385392,0.9557076445094123
-27.07087235738539,0.9557086919111637
-27.06087235738539,0.9557097418711136
-27.050872357385387,0.9557107943947739
-27.040872357385386,0.9557118494876665
-27.030872357385384,0.955712907155323
-27.020872357385382,0.9557139674032845
-27.01087235738538,0.9557150302371021
-27.00087235738538,0.9557160956623364
-26.990872357385378,0.9557171636845584
-26.980872357385376,0.955718234309348
-26.970872357385375,0.9557193075422955
-26.960872357385373,0.9557203833890009
-26.95087235738537,0.9557214618550738
-26.94087235738537,0.9557225429461338
-26.93087235738537,0.9557236266678104
-26.920872357385367,0.9557247130257428
-26.910872357385365,0.9557258020255802
-26.900872357385364,0.9557268936729815
-26.890872357385362,0.9557279879736156
-26.88087235738536,0.9557290849331611
-26.87087235738536,0.955730184557307
-26.860872357385357,0.9557312868517515
-26.850872357385356,0.955732391822203
-26.840872357385354,0.9557334994743804
-26.830872357385353,0.9557346098140116
-26.82087235738535,0.9557357228468352
-26.81087235738535,0.9557368385785993
-26.800872357385348,0.955737957015062
-26.790872357385346,0.9557390781619918
-26.780872357385345,0.9557402020251666
-26.770872357385343,0.9557413286103749
-26.76087235738534,0.9557424579234147
-26.75087235738534,0.9557435899700943
-26.74087235738534,0.9557447247562321
-26.730872357385337,0.9557458622876562
-26.720872357385336,0.9557470025702052
-26.710872357385334,0.9557481456097273
-26.700872357385332,0.9557492914120811
-26.69087235738533,0.9557504399831352
-26.68087235738533,0.9557515913287683
-26.670872357385328,0.9557527454548692
-26.660872357385326,0.9557539023673367
-26.650872357385325,0.9557550620720799
-26.640872357385323,0.955756224575018
-26.63087235738532,0.9557573898820801
-26.62087235738532,0.955758557999206
-26.61087235738532,0.955759728932345
-26.600872357385317,0.9557609026874572
-26.590872357385315,0.9557620792705122
-26.580872357385314,0.9557632586874903
-26.570872357385312,0.9557644409443821
-26.56087235738531,0.955765626047188
-26.55087235738531,0.955766814001919
-26.540872357385307,0.9557680048145958
-26.530872357385306,0.9557691984912501
-26.520872357385304,0.955770395037923
-26.510872357385303,0.9557715944606667
-26.5008723573853,0.9557727967655432
-26.4908723573853,0.9557740019586247
-26.480872357385298,0.955775210045994
-26.470872357385296,0.955776421033744
-26.460872357385295,0.9557776349279782
-26.450872357385293,0.9557788517348097
-26.44087235738529,0.9557800714603629
-26.43087235738529,0.955781294110772
-26.42087235738529,0.9557825196921813
-26.410872357385287,0.9557837482107463
-26.400872357385285,0.9557849796726318
-26.390872357385284,0.9557862140840139
-26.380872357385282,0.9557874514510786
-26.37087235738528,0.9557886917800226
-26.36087235738528,0.9557899350770525
-26.350872357385278,0.9557911813483859
-26.340872357385276,0.9557924306002504
-26.330872357385275,0.9557936828388846
-26.320872357385273,0.9557949380705366
-26.31087235738527,0.9557961963014658
-26.30087235738527,0.955797457537942
-26.29087235738527,0.955798721786245
-26.280872357385267,0.9557999890526655
-26.270872357385265,0.9558012593435045
-26.260872357385264,0.9558025326650732
-26.250872357385262,0.9558038090236942
-26.24087235738526,0.9558050884256998
-26.23087235738526,0.9558063708774331
-26.220872357385257,0.9558076563852479
-26.210872357385256,0.9558089449555083
-26.200872357385254,0.9558102365945889
-26.190872357385253,0.9558115313088753
-26.18087235738525,0.9558128291047634
-26.17087235738525,0.9558141299886594
-26.160872357385248,0.9558154339669809
-26.150872357385246,0.9558167410461551
-26.140872357385245,0.9558180512326206
-26.130872357385243,0.9558193645328261
-26.12087235738524,0.9558206809532315
-26.11087235738524,0.9558220005003067
-26.10087235738524,0.9558233231805328
-26.090872357385237,0.9558246490004012
-26.080872357385235,0.955825977966414
-26.070872357385234,0.9558273100850841
-26.060872357385232,0.9558286453629352
-26.05087235738523,0.9558299838065014
-26.04087235738523,0.9558313254223278
-26.030872357385228,0.9558326702169699
-26.020872357385226,0.9558340181969942
-26.010872357385225,0.9558353693689776
-26.000872357385223,0.9558367237395083
-25.99087235738522,0.9558380813151847
-25.98087235738522,0.9558394421026162
-25.97087235738522,0.9558408061084229
-25.960872357385217,0.9558421733392356
-25.950872357385215,0.9558435438016962
-25.940872357385214,0.9558449175024571
-25.930872357385212,0.9558462944481815
-25.92087235738521,0.9558476746455434
-25.91087235738521,0.955849058101228
-25.900872357385207,0.9558504448219308
-25.890872357385206,0.9558518348143583
-25.880872357385204,0.9558532280852281
-25.870872357385203,0.9558546246412682
-25.8608723573852,0.955856024489218
-25.8508723573852,0.9558574276358274
-25.840872357385198,0.955858834087857
-25.830872357385196,0.9558602438520788
-25.820872357385195,0.9558616569352754
-25.810872357385193,0.9558630733442403
-25.80087235738519,0.9558644930857778
-25.79087235738519,0.9558659161667035
-25.78087235738519,0.9558673425938435
-25.770872357385187,0.9558687723740351
-25.760872357385185,0.9558702055141265
-25.750872357385184,0.9558716420209767
-25.740872357385182,0.9558730819014558
-25.73087235738518,0.955874525162445
-25.72087235738518,0.955875971810836
-25.710872357385178,0.955877421853532
-25.700872357385176,0.9558788752974468
-25.690872357385174,0.9558803321495055
-25.680872357385173,0.9558817924166442
-25.67087235738517,0.9558832561058097
