Sample X	Sample Y	Sample Z	Sample Theta	CCD Theta	Beamline Energy	
27.59	29.82	1.5939999999999999	0.0	0.0	283.2000000000007	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	283.30000000000075	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	283.4000000000008	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	283.5000000000008	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	283.6000000000008	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	283.70000000000084	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	283.80000000000086	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	283.9000000000009	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	284.0000000000009	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	284.10000000000093	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	284.20000000000095	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	284.300000000001	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	284.400000000001	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	284.500000000001	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	284.60000000000105	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	284.70000000000107	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	284.8000000000011	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	284.9000000000011	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	285.00000000000114	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	285.10000000000116	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	285.2000000000012	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	285.3000000000012	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	285.4000000000012	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	285.50000000000125	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	285.6000000000013	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	285.7000000000013	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	285.8000000000013	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	285.90000000000134	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	286.00000000000136	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	286.1000000000014	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	286.2000000000014	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	286.30000000000143	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	286.40000000000146	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	286.5000000000015	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	286.6000000000015	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	286.7000000000015	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	286.80000000000155	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	286.90000000000157	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	287.0000000000016	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	287.1000000000016	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	287.20000000000164	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	287.30000000000166	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	287.4000000000017	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	287.5000000000017	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	287.6000000000017	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	287.70000000000175	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	287.8000000000018	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	287.9000000000018	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	288.0000000000018	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	288.10000000000184	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	288.20000000000186	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	288.3000000000019	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	288.4000000000019	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	288.50000000000193	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	288.60000000000196	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	288.700000000002	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	288.800000000002	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	288.900000000002	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	289.00000000000205	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	289.10000000000207	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	289.2000000000021	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	289.3000000000021	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	289.40000000000214	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	289.50000000000216	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	289.6000000000022	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	289.7000000000022	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	289.8000000000022	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	289.90000000000225	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	290.0000000000023	0.002
27.59	29.82	1.5939999999999999	23.0	46.0	280.0	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	280.1	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	280.20000000000005	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	280.30000000000007	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	280.4000000000001	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	280.5000000000001	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	280.60000000000014	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	280.70000000000016	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	280.8000000000002	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	280.9000000000002	2.0
27.59	29.82	1.5939999999999999	23.0	46.0	281.0000000000002	2.0
